#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
31,South Africa,"3,995,400",,"101,815 ",,"3,884,454",,"9,131",192,"65,708","1,674","25,766,017","423,745","60,805,481 ",Africa,155972,,,150
32,Canada,"3,950,609",,"42,018 ",,"3,562,133",,"346,458",195,"102,868","1,094","62,586,673","1,629,669","38,404,526 ",North America,109141,,,"9,021"
33,Czechia,"3,936,870","+1,297","40,324 ",,"3,889,854",+697,"6,692",13,"366,263","3,752","55,559,357","5,168,918","10,748,741 ",Europe,32670,121,,623
34,Taiwan,"3,929,627","+36,015","7,128 ",+103,"3,065,319","+68,808","857,180",,"164,399",298,"21,319,860","891,931","23,903,044 ",Asia,"63,3531","1,507",4,"35,861"
35,Switzerland,"3,741,859",,"13,984 ",,"3,650,823","+1,649","77,052",49,"426,116","1,592","21,360,334","2,432,478","8,781,306 ",Europe,26280,,,"8,775"
36,Greece,"3,729,199",,"30,327 ",,"3,542,750",,"156,122",102,"361,315","2,938","85,770,643","8,310,146","10,321,196 ",Europe,33400,,,"15,126"
37,Philippines,"3,710,145",+832,"60,610 ",+8,"3,639,503",+813,"10,032",443,"32,979",539,"30,878,577","274,475","112,500,523 ",Asia,"301,8564",7,0.07,89
38,Peru,"3,640,061",,"213,579 ",,"3,389,548",,"36,934",146,"107,404","6,302","31,654,872","934,014","33,891,228 ",South America,91591,,,"1,090"
39,Denmark,"3,019,264",,"6,487 ",,"2,993,046",,"19,731",12,"517,615","1,112","127,704,991","21,893,441","5,833,025 ",Europe,28990,,,"3,383"
40,Romania,"2,927,187",,"65,755 ",,"2,847,123",,"14,309",52,"154,217","3,464","23,542,696","1,240,332","18,980,967 ",Europe,62891,,,754
41,Sweden,"2,519,199",,"19,091 ",,"2,490,785",+146,"9,323",13,"246,369","1,867","18,669,741","1,825,836","10,225,309 ",Europe,45361,,,912
42,Iraq,"2,359,755",,"25,247 ",,"2,312,652",,"21,856",22,"56,146",601,"18,810,531","447,560","42,029,055 ",Asia,"181,6652",,,520
43,Serbia,"2,033,180",,"16,132 ",,"2,005,135",,"11,913",9,"234,590","1,861","9,929,796","1,145,707","8,666,957 ",Europe,45371,,,"1,375"
44,Bangladesh,"1,980,974",,"29,174 ",,"1,908,779",,"43,021","2,504","11,793",174,"14,394,819","85,697","167,973,616 ",Asia,"855,75812",,,256
45,Hungary,"1,928,125",,"46,647 ",,"1,871,930",,"9,548",5,"200,611","4,853","11,394,556","1,185,541","9,611,270 ",Europe,52061,,,993
46,Slovakia,"1,798,131",+667,"20,152 ",+1,"1,772,549",+319,"5,430",5,"329,031","3,688","7,182,254","1,314,244","5,464,934 ",Europe,32711,122,0.2,994
47,Jordan,"1,700,526",,"14,068 ",,"1,685,354",,"1,104",124,"163,420","1,352","16,894,012","1,623,506","10,405,883 ",Asia,67401,,,106
48,Georgia,"1,660,429",,"16,841 ",,"1,637,293",,"6,295",,"417,839","4,238","16,920,079","4,257,861","3,973,845 ",Asia,22360,,,"1,584"
49,Ireland,"1,600,614",,"7,467 ",,"1,558,545",+135,"34,602",32,"317,067","1,479","12,420,810","2,460,447","5,048,192 ",Europe,36760,,,"6,854"
50,Pakistan,"1,539,275",+653,"30,403 ",,"1,500,046",,"8,826",162,"6,708",132,"29,064,686","126,656","229,477,443 ",Asia,"1497,5488",3,,38
51,Singapore,"1,473,180",,"1,419 ",,"1,379,113",,"92,648",11,"247,908",239,"24,098,157","4,055,265","5,942,437 ",Asia,"44,1880",,,"15,591"
52,Norway,"1,448,679",,"3,337 ",,"1,436,319",,"9,023",20,"263,105",606,"11,002,430","1,998,229","5,506,090 ",Europe,"41,6501",,,"1,639"
53,New Zealand,"1,374,535","+9,802","1,534 ",+22,"1,320,973","+8,333","52,028",,"274,792",307,"7,300,050","1,459,397","5,002,100 ",Australia/Oceania,"43,2611","1,960",4,"10,401"
54,Kazakhstan,"1,307,330",+158,"13,663 ",,"1,292,535",+57,"1,132",24,"67,997",711,"11,575,012","602,041","19,226,275 ",Asia,"151,4072",8,,59
55,Hong Kong,"1,254,011",,"9,405 ",,"1,202,690",,"41,916",2,"164,596","1,234","50,415,048","6,617,255","7,618,725 ",Asia,68100,,,"5,502"
56,Morocco,"1,226,246",,"16,120 ",,"1,185,916",,"24,210",293,"32,452",427,"11,978,668","317,011","37,786,283 ",Africa,"312,3443",,,641
57,Bulgaria,"1,174,216",,"37,260 ",,"1,085,407",,"51,549",31,"171,573","5,444","10,120,506","1,478,782","6,843,813 ",Europe,61841,,,"7,532"
58,Croatia,"1,151,523",,"16,082 ",,"1,129,943",,"5,498",7,"284,003","3,966","4,949,517","1,220,710","4,054,621 ",Europe,42521,,,"1,356"
59,Finland,"1,145,610",,"4,875 ",,"1,109,698","+9,362","31,037",21,"206,121",877,"11,073,562","1,992,384","5,557,945 ",Europe,"51,1401",,,"5,584"
60,Lebanon,"1,116,798",,"10,469 ",,"1,087,587",,"18,742",186,"165,102","1,548","4,795,578","708,955","6,764,293 ",Asia,66461,,,"2,771"
61,Cuba,"1,106,167",,"8,529 ",,"1,097,412",,226,23,"97,780",754,"13,852,049","1,224,460","11,312,782 ",North America,"101,3261",,,20
62,Lithuania,"1,069,206",+528,"9,176 ",,"1,038,300",,"21,730",6,"404,033","3,467","10,013,417","3,783,881","2,646,335 ",Europe,22880,200,,"8,211"
63,Tunisia,"1,052,180",,"28,691 ",,N/A,N/A,N/A,29,"87,201","2,378","4,674,032","387,367","12,066,157 ",Africa,114213,,,-270.76
64,Slovenia,"1,043,241","+1,815","6,655 ",,"1,024,593",+152,"11,993",12,"501,676","3,200","2,686,201","1,291,747","2,079,510 ",Europe,23121,873,,"5,767"
65,Belarus,"982,867",,"6,978 ",,N/A,N/A,N/A,,"104,083",739,"13,220,483","1,400,015","9,443,103 ",Europe,"101,3531",,,"5,015"
66,Nepal,"979,908",+73,"11,952 ",,"967,555",+20,401,,"32,463",396,"5,765,719","191,008","30,185,767 ",Asia,"312,5265",2,,13
67,Uruguay,"957,629",,"7,331 ",,"944,959",,"5,339",18,"273,778","2,096","6,114,822","1,748,179","3,497,824 ",South America,44771,,,"1,526"
68,UAE,"954,692","+1,732","2,319 ",,"935,026","+1,769","17,347",,"94,248",229,"171,338,389","16,914,629","10,129,598 ",Asia,"114,3680",171,,"1,713"
69,Bolivia,"931,955","+1,782","21,958 ",,"887,095","+1,140","22,902",220,"77,716","1,831","2,705,422","225,607","11,991,746 ",South America,135464,149,,"1,910"
70,Mongolia,"928,981",,"2,179 ",,N/A,N/A,N/A,192,"274,525",644,"4,030,048","1,190,926","3,383,963 ",Asia,"41,5531",,,"181,310"
71,Panama,"925,254",,"8,373 ",,"903,344",,"13,537",16,"207,888","1,881","6,597,121","1,482,258","4,450,724 ",North America,55321,,,"3,042"
72,Guatemala,"921,146",,"18,616 ",,"859,645",,"42,885",5,"49,580","1,002","4,954,708","266,684","18,578,915 ",North America,209984,,,"2,308"
73,Ecuador,"913,798",,"35,745 ",,"862,168","+1,410","15,885",759,"50,266","1,966","2,470,170","135,878","18,179,315 ",South America,205097,,,874
74,Costa Rica,"904,934",,"8,525 ",,"860,711",,"35,698",52,"174,454","1,643","4,659,757","898,314","5,187,228 ",North America,66081,,,"6,882"
75,Latvia,"837,872",+690,"5,862 ",+2,"826,634",+312,"5,376",10,"454,256","3,178","7,334,084","3,976,210","1,844,491 ",Europe,23150,374,1,"2,915"
76,Saudi Arabia,"797,374",,"9,211 ",,"780,532",,"7,631",159,"22,212",257,"43,490,843","1,211,474","35,899,123 ",Asia,"453,8971",,,213
77,Azerbaijan,"793,388",,"9,717 ",,"783,453",,218,,"76,863",941,"6,972,527","675,495","10,322,104 ",Asia,"131,0621",,,21
78,Sri Lanka,"664,181",,"16,522 ",,"647,041",,618,,"30,759",765,"6,486,117","300,381","21,592,944 ",Asia,"331,3073",,,29
79,Paraguay,"660,841",,"18,994 ",,"624,673",,"17,174",6,"90,428","2,599","2,646,163","362,096","7,307,911 ",South America,113853,,,"2,350"
80,Kuwait,"644,451",,"2,555 ",,"637,295",,"4,601",10,"146,566",581,"8,208,612","1,866,870","4,396,991 ",Asia,"71,7211",,,"1,046"
81,Bahrain,"631,562",,"1,495 ",,"617,320",,"12,747",16,"347,022",821,"10,046,743","5,520,349","1,819,947 ",Asia,"31,2170",,,"7,004"
82,Myanmar,"613,659",,"19,434 ",,"592,590",,"1,635",,"11,129",352,"8,391,136","152,179","55,139,876 ",Asia,"902,8377",,,30
83,Dominican Republic,"611,581",,"4,383 ",,"602,825",,"4,373",26,"55,268",396,"3,508,264","317,041","11,065,657 ",North America,"182,5253",,,395
84,Palestine,"586,058",,"5,358 ",,"578,920",,"1,780",17,"109,774","1,004","3,078,533","576,637","5,338,771 ",Asia,99962,,,333
85,Estonia,"581,457","+1,346","2,591 ",,"522,921",+656,"55,945",6,"437,739","1,951","3,415,922","2,571,611","1,328,320 ",Europe,25130,"1,013",,"42,117"
86,Venezuela,"527,074",,"5,735 ",,"519,053",,"2,286",36,"18,641",203,"3,359,014","118,799","28,274,731 ",South America,"544,9308",,,81
87,Moldova,"520,321",,"11,567 ",,"504,142",,"4,612",49,"129,588","2,881","3,216,305","801,032","4,015,203 ",Europe,83471,,,"1,149"
88,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,856",232,"3,693,367","34,778","106,197,743 ",Africa,"2064,31529",,,460
89,Cyprus,"504,717",,"1,072 ",,"124,370",,"379,275",60,"412,030",875,"9,477,138","7,736,749","1,224,951 ",Asia,"21,1430",,,"309,625"
90,Libya,"502,138",,"6,430 ",,"490,973",,"4,735",101,"71,141",911,"2,477,219","350,964","7,058,323 ",Africa,"141,0983",,,671
91,Ethiopia,"489,502",,"7,542 ",,"464,598",,"17,362",54,"4,057",63,"5,068,517","42,006","120,663,114 ",Africa,"24715,99924",,,144
92,Honduras,"427,718",,"10,906 ",,"132,498",,"284,314",105,"41,851","1,067","1,404,069","137,385","10,219,926 ",North America,249377,,,"27,820"
93,Armenia,"423,417",,"8,629 ",,"412,661",,"2,127",,"142,357","2,901","3,109,931","1,045,591","2,974,327 ",Asia,73451,,,715
94,Réunion,"422,769",,812 ,,"418,572",,"3,385",10,"465,553",894,"1,603,660","1,765,949","908,101 ",Africa,"21,1181",,,"3,728"
95,Oman,"390,244",,"4,260 ",,"384,669",,"1,315",2,"72,718",794,"25,000,000","4,658,473","5,366,565 ",Asia,"141,2600",,,245
96,Qatar,"385,830",+667,679 ,,"380,105",+666,"5,046",1,"137,413",242,"3,665,059","1,305,311","2,807,805 ",Asia,"74,1351",238,,"1,797"
97,Bosnia and Herzegovina,"379,132",+91,"15,808 ",+1,N/A,N/A,N/A,,"117,016","4,879","1,794,808","553,954","3,239,994 ",Europe,92052,28,0.3,"52,811"
98,Kenya,"334,551",,"5,656 ",,"325,438",,"3,457",5,"5,959",101,"3,766,986","67,097","56,141,978 ",Africa,"1689,92615",,,62
99,Zambia,"326,259",,"4,007 ",,"321,153",,"1,099",1,"16,805",206,"3,560,233","183,381","19,414,401 ",Africa,"604,8455",,,57
100,Botswana,"322,769",,"2,750 ",,"315,668",,"4,351",1,"131,922","1,124","2,026,898","828,433","2,446,665 ",Africa,88901,,,"1,778"
101,North Macedonia,"314,501",,"9,327 ",,"304,239",,935,,"150,970","4,477","2,073,990","995,577","2,083,203 ",Europe,72231,,,449
102,Albania,"282,690",,"3,502 ",,"275,252",,"3,936",,"98,446","1,220","1,854,161","645,710","2,871,509 ",Europe,108202,,,"1,371"
